,tweet,label
261,coronavirus,fake
262,as,real
263,rt,real
264,our,real
265,london,real
266,post,fake
267,eight,real
268,you,real
269,the,real
270,more,real
271,in,real
272,covid19,real
273,coronavirus,real
274,the,real
275,nio,fake
276,covid19,fake
277,new,fake
278,for,fake
279,people,fake
280,our,real
281,a,fake
282,indiafightscorona,real
283,another,real
284,florida,fake
285,as,real
286,do,real
287,the,fake
288,scientist,real
289,tasuku,fake
290,monday,real
291,denmark,fake
292,bill,fake
293,have,fake
294,trump,fake
295,the,real
296,indiafightscorona,real
297,the,real
298,say,fake
299,joe,fake
300,an,fake
301,fda,fake
302,ok,real
303,the,real
304,few,fake
305,the,fake
306,indiafightscorona,real
307,the,fake
308,parent,real
309,violate,fake
310,jackie,fake
311,rt,real
312,bollywood,fake
313,help,fake
314,the,fake
315,spread,real
316,indiafightscorona,real
317,image,fake
318,break,fake
319,wear,real
320,our,real
321,the,fake
322,the,fake
323,rt,real
324,44,real
325,if,real
326,our,real
327,european,fake
328,italian,fake
329,coronavirusupdate,real
330,cindy,fake
331,dps,fake
332,therefore,real
333,the,fake
334,president,fake
335,in,real
336,a,fake
337,omarkelly,fake
338,protect,real
339,democratic,fake
340,covid19,fake
341,state,real
342,timeline,fake
343,in,real
344,texas,fake
345,2,real
346,people,fake
347,the,fake
348,half,fake
349,mayan,fake
350,donald,fake
351,indiafightscorona,real
352,news,fake
353,covid,real
354,this,fake
355,indiafightscorona,real
356,thank,real
357,seven,real
358,in,fake
359,president,fake
360,a,fake
361,say,fake
362,reposte,real
363,we,real
364,coronavirus,fake
365,video,fake
366,video,fake
367,an,real
368,captshaktilumba,fake
369,entire,fake
370,the,fake
371,a,fake
372,the,fake
373,florida,fake
374,coronavirus,fake
375,kentucky,fake
376,here,real
377,coronavirus,real
378,school,real
379,vaccine,fake
380,our,real
381,coronavirusupdates,real
382,scripps,fake
383,481,real
384,the,fake
385,indiafightscorona,real
386,salwar,fake
387,must,fake
388,to,fake
389,every,real
390,picture,fake
391,picture,fake
392,china,fake
393,claim,fake
394,multiple,fake
395,the,fake
396,joewasserman,real
397,news,fake
398,arizonas,real
399,scientist,fake
400,denmark,fake
401,indiafightscorona,real
402,the,fake
403,as,real
404,an,real
405,this,real
406,a,fake
407,state,real
408,news,fake
409,our,real
410,gate,fake
411,patient,real
412,490,real
413,colloidal,fake
414,indiafightscorona,real
415,a,fake
416,man,fake
417,dearicaitake,fake
418,coronavirus,real
419,trump,real
420,as,real
421,italy,fake
422,as,real
423,trump,fake
424,rt,real
425,hcp,real
426,nyt,fake
427,the,real
428,one,real
429,fda,real
430,cbs,fake
431,the,real
432,delibrolawrence,fake
433,the,fake
434,a,real
435,corona,fake
436,death,real
437,condom,fake
438,coronavirusupdates,real
439,trump,fake
440,singapore,fake
441,mahesh10816,fake
442,a,fake
443,ikaveri,fake
444,in,fake
445,as,real
446,biomagnetism,fake
447,chanel,fake
448,every,fake
449,researcher,real
450,as,real
451,if,fake
452,dhfwka,fake
453,indiafightscorona,real
454,corona,fake
455,coronavirus,fake
456,a,fake
457,garda,fake
458,the,real
459,indiafightscorona,real
460,coronavirus,real
461,so,fake
462,new,fake
463,the,real
464,for,real
465,amoxi,fake
466,indiafightscorona,real
467,claim,fake
468,even,real
469,since,real
470,tanzanian,fake
471,new,fake
472,reserve,fake
473,covid19,fake
474,video,fake
475,rt,real
476,when,real
477,science,real
478,study,real
479,brazil,real
480,saint,fake
481,nurse,real
482,coronavirus,real
483, ,real
484,our,real
485,first,fake
486,our,real
487,as,real
488,we,real
489,coronavirusupdates,real
490,typically,fake
491,news,fake
492,there,real
493,coronavirus,fake
494,speaker,fake
495,trump,fake
496,rt,real
497,update,real
498,indiafightscorona,real
499,disney,fake
500,the,fake
501,italian,fake
502,rt,real
503,our,real
504,the,real
505,a,fake
506,indiafightscorona,real
507,in,fake
508,I,fake
509,foreign,real
510,we,real
511,the,real
512,rt,real
513,say,fake
514,chaddystacksdfs,fake
515,as,real
516,break,fake
517,coronavirus,real
518,thank,real
519,our,real
520,newly,real
521,do,fake
522,38,fake
523,the,real
524,our,real
525,our,real
526,update,real
527,chair,real
528,our,real
529,mask,fake
530,coronavirus,real
531,say,fake
532,mix,fake
533,as,fake
534,the,fake
535,44,real
536,creatiwit,real
537,bill,fake
538,all,fake
539,we,fake
540,the,fake
541,anthony,fake
542,rt,real
543,the,real
544,no,fake
545,the,real
546,an,real
547,ultrarich,fake
548,california,real
549, ,real
550,who,fake
551,328,real
552,record,fake
553,study,real
554,the,real
555,the,real
556,late,real
557,getting,real
558,covid19,fake
559,coffee,fake
560,new,fake
561,a,fake
562,a,fake
563,vladimir,fake
564,tulisa,fake
565,667,real
566,when,real
567,do,fake
568,among,real
569,donald,fake
570,under,fake
571,image,fake
572,until,real
573,aside,fake
574,acc,real
575,3we,real
576,be,real
577,since,real
578,death,real
579,covid19,real
580,there,fake
581,donald,fake
582,trudeau,fake
583,coronavirusupdates,real
584,that,real
585,indiafightscorona,real
586,coronavirusupdates,real
587,sign,real
588,news,fake
589,state,real
590,while,fake
591,coronavirus,real
592,while,real
593,indiafightscorona,real
594,case,real
595,rt,real
596,another,real
597,import,fake
598,1,real
599,bill,fake
600,329,real
601,the,real
602,mere,fake
603,it,fake
604,a,fake
605,uk,real
606,the,fake
607,our,real
608, ,real
609,and,real
610,our,real
611,relax,fake
612,madagascar,fake
613,a,fake
614,harvard,fake
615,454,real
616,little,real
617,there,real
618,indiafightscorona,real
619,the,fake
620,mask,real
621,as,real
622,new,fake
623,this,real
624,republicans,fake
625,president,fake
626,update,real
627,this,real
628,yesterday,real
629,late,real
630,horrific,fake
631,how,fake
632,high,real
633,new,real
634,a,fake
635,jburnmurdoch,fake
636,the,fake
637,one,real
638,arizona,real
639,the,real
640,the,real
641,coronaviru,real
642,we,real
643,say,fake
644,indiafightscorona,real
645,mesenchymal,real
646,allowance,fake
647,chinese,fake
648,the,fake
649,as,real
650,trey,fake
651,there,real
652,rt,real
653,each,fake
654,a,fake
655,to,real
656,cristiano,fake
657,break,fake
658,video,fake
659,they,fake
660,indian,fake
661, ,real
662,health,real
663,between,real
664,trump,fake
665,health,real
666,a,real
667,53,fake
668,donald,fake
669,there,real
670,chloroquine,fake
671,thought,real
672,break,real
673,the,fake
674,president,fake
675,household,fake
676,deep,real
677,ten,fake
678,critique,real
679,shand,fake
680,few,fake
681,there,real
682,across,real
683,our,real
684,this,fake
685,there,fake
686,break,fake
687,presssec,fake
688,coronavirusupdate,real
689,tory,real
690,although,real
691,a,fake
692,bollywood,fake
693,paul,fake
694,there,real
695,the,fake
696,a,fake
697,in,fake
698,our,real
699,ppi,real
700,as,real
701,base,real
702,be,real
703,acc,real
704,giniminimanemo,real
705,amid,fake
706,the,fake
707,video,fake
708,do,real
709,the,real
710,nursing,real
711,hindu,fake
712,emmawehipeihana,real
713,covid19,real
714,be,real
715,claim,fake
716,a,fake
717,a,fake
718,over,fake
719,autohemotherapy,fake
720,sreesub,real
721,can,fake
722,we,fake
723,we,fake
724,nurse,fake
725,note,fake
726,after,fake
727,why,real
728,rt,real
729,rt,real
730,remanagarajan,real
731,robinmonotti,fake
732,the,real
733,an,fake
734,google,fake
735,dr,fake
736,the,real
737,do,real
738,late,fake
739,yesterday,real
740,newjersey,real
741,outbreak,fake
742,say,fake
743,world,fake
744,july,real
745,covid,real
746,state,real
747,a,fake
748,the,real
749,a,fake
750,wearamask,real
751,the,fake
752,unmasked,fake
753,how,fake
754,about,real
755,american,fake
756,rt,real
757,as,real
758,test,real
759,our,real
760,high,fake
761,the,real
762,eightysix,real
763,a,fake
764,our,real
765,news,fake
766,israels,fake
767,type,real
768,there,real
769,drjudyamikovit,fake
770,reliance,fake
771,citizen,fake
772,trump,fake
773,indian,fake
774,its,real
775,there,real
776,president,fake
777,coronavirus,fake
778,video,fake
779,I,fake
780,arizona,real
781,the,fake
782,consume,fake
783,the,real
784,post,fake
785,top,real
786, ,real
787,a,fake
788,an,fake
789,today,real
790,rt,real
791,who,fake
792,ravikundurthi,real
793,projectlincoln,fake
794,while,fake
795,mean,fake
796,our,real
797,on,real
798,an,real
799,say,fake
800,coronavirus,fake
801,3,fake
802,as,real
803,mas,real
804,government,fake
805,rt,fake
806,the,fake
807,during,fake
808,new,real
809,say,fake
810,michigan,fake
811,news,fake
812,here,fake
813,of,real
814,video,fake
815,there,real
816,rt,real
817,as,real
818,this,real
819,part,real
820,although,real
821,a,fake
822,this,real
823,tmccormick,real
824,a,fake
825,339,real
826,6,real
827,official,real
828,indiafightscorona,real
829,rt,real
830,437,real
831,rt,real
832,indian,fake
833,accord,real
834,the,fake
835,multiple,fake
836,sadly,real
837,whether,real
838,1,real
839,say,fake
840,large,real
841,the,real
842,trump,fake
843,a,fake
844,thread,real
845,child,fake
846,as,real
847,sign,fake
848,there,real
849,a,fake
850,yesterday,real
851,if,fake
852,ireland,real
853,for,real
854,649,real
855,the,real
856,covid19,fake
857,one,real
858,contact,real
859,new,fake
860,as,real
861,the,fake
862,president,fake
863,social,fake
864,pharmacological,fake
865,londoner,real
866,rt,real
867,factchecke,fake
868,indiafightscorona,real
869,pet,fake
870,israeli,fake
871,nancy,fake
872,new,real
873,kill,fake
874,we,real
875,the,real
876,as,real
877,china,fake
878,rt,fake
879,indiafightscorona,real
880,tanuj7sagar,real
881,rt,real
882,indiafightscorona,real
883,coronavirusupdates,real
884,turkish,fake
885,irish,fake
886,vermont,real
887,this,real
888,opinion,fake
889,in,fake
890,the,fake
891,a,fake
892,final,real
893,rt,real
894,the,real
895,a,fake
896,as,real
897,a,fake
898,coronavirus,real
899,a,fake
900,dad,fake
901,importantinformation,fake
902,they,real
903,speech,fake
904,iranian,fake
905,the,real
906,new,fake
907,cdc,fake
908,the,fake
909,rex,fake
910,amazing,fake
911,we,fake
912,we,real
913,polish,fake
914,msrightmsright,fake
915,the,fake
916,17,fake
917,finally,real
918,a,fake
919,a,fake
920,at,real
921,glenmark,fake
922,if,fake
923,do,real
924,we,real
925,our,real
926,a,fake
927,our,real
928,it,real
929,we,real
930,have,fake
931,together,real
932,in,fake
933,a,fake
934,the,fake
935,president,fake
936,grow,fake
937,an,fake
938,paraguayan,fake
939,a,real
940,ginger,fake
941,no,fake
942,hcps,real
943,while,real
944,sadly,real
945,162,real
946,a,fake
947,trump,fake
948,chronic,real
949,my,fake
950,state,real
951,indiafightscorona,real
952,the,real
953,hcps,real
954,be,fake
955,nz,real
956,evinindia,real
957,chinas,fake
958,when,fake
959,indiafightscorona,real
960,serological,fake
961,the,real
962,death,real
963,34,real
964,the,fake
965,health,real
966,a,fake
967,georgia,real
968,an,real
969,indian,fake
970,and,real
971,the,real
972,mass,fake
973,sabrinabia3,fake
974,we,real
975,we,fake
976,the,fake
977,connecticut,real
978, ,real
979,229,real
980,india,real
981,update,real
982,a,real
983,with,real
984,facebook,fake
985,free,fake
986,state,real
987,coronavirus,fake
988,so,fake
989,pronxt,real
990,new,real
991,coronavirusupdates,real
992,the,fake
993,corona,fake
994,in,fake
995,accord,fake
996,claim,fake
997,the,fake
998,bollywood,fake
999,guam,real
1000,death,real
1001,rt,real
1002,russians,fake
1003,at,real
1004,chief,real
1005,donald,fake
1006,first,fake
1007,the,real
1008,rt,real
1009,in,real
1010,these,real
1011,a,real
1012,a,fake
1013,governor,fake
1014,pm,real
1015,350,real
1016,texas,real
1017,its,real
1018,factchecke,fake
1019,our,real
1020,break,fake
1021,ultraviolet,fake
1022,the,real
1023,vitamin,fake
1024,nigerians,fake
1025,late,real
1026,they,fake
1027,update,real
1028,a,fake
1029,update,real
1030, ,real
1031,if,real
1032,news,fake
1033,rt,real
1034,1645,real
1035,you,real
1036,diary,fake
1037,to,real
1038,this,real
1039,trump,fake
1040,my,fake
1041,593,real
1042,announce,real
1043,a,real
1044,coronavirus,real
1045,clarification,real
1046,a,fake
1047,coronavirus,fake
1048,a,fake
1049,rt,real
1050,1178,real
1051,game,fake
1052,scary,real
1053,coronavirus,real
1054,would,fake
1055,aggressive,real
1056,a,fake
1057,pcr,fake
1058,we,real
1059,there,real
1060,rglobalism,real
1061,rt,real
1062,accord,fake
1063,a,fake
1064,yesterday,real
1065,rt,real
1066,if,real
1067,kryziamarie,fake
1068,the,fake
1069,the,fake
1070,if,fake
1071,claim,fake
1072,there,fake
1073,rt,real
1074,one,real
1075,death,real
1076,such,real
1077,one,real
1078,dog,fake
1079,a,fake
1080,indiafightscorona,real
1081,indiafightscorona,real
1082,update,real
1083,for,real
1084,people,fake
1085,last,real
1086,alert,fake
1087,a,fake
1088,more,real
1089,coronacheck,fake
1090,prince,fake
1091,I,fake
1092,bill,fake
1093,there,real
1094,155,real
1095,marvin,fake
1096,say,fake
1097,a,fake
1098,a,fake
1099,be,real
1100,the,real
1101,its,fake
1102,this,real
1103,in,real
1104,image,fake
1105,50year,fake
1106,fauci,real
1107,we,real
1108,truth,fake
1109,claim,fake
1110,donor,real
1111,daily,real
1112,to,real
1113,coronavirus,real
1114,the,fake
1115,the,fake
1116,a,fake
1117,acute,fake
1118,delay,real
1119,an,real
1120,at,real
1121,new,real
1122,philippines,fake
1123,we,real
1124,this,real
1125,the,real
1126,we,fake
1127,more,real
1128,pulmonary,real
1129,be,fake
1130,as,fake
1131,with,real
1132,among,real
1133,indiafightscorona,real
1134,ellie,fake
1135,2,real
1136,no,real
1137,our,real
1138,standard,real
1139,our,fake
1140,we,real
1141,our,real
1142,a,real
1143, ,real
1144,queen,fake
1145,covid19,fake
1146,recovery,real
1147,our,real
1148,say,fake
1149,india,fake
1150,the,fake
1151,rt,real
1152,indiafightscorona,real
1153,rt,real
1154,realdonaldtrump,fake
1155,say,fake
1156,covid19,fake
1157,as,real
1158,who,fake
1159,news,fake
1160,a,fake
1161,462,real
1162,claim,fake
1163,thirtyfour,real
1164,rt,real
1165,please,real
1166,piltdown,fake
1167,covid19,real
1168,with,real
1169,jsolomonreport,fake
1170,in,real
1171,a,fake
1172,rt,real
1173,say,fake
1174,covid19,fake
1175,say,fake
1176,update,real
1177,skin,real
1178,the,fake
1179,the,fake
1180,those,fake
1181,people,fake
1182,rt,real
1183,our,real
1184,philippines,fake
1185,doctor,fake
1186,on,real
1187,mild,real
1188,mislead,fake
1189,three,real
1190,new,real
1191,indiafightscorona,real
1192,myanmar,fake
1193,dr,fake
1194,kevinlyfather,fake
1195,we,real
1196,three,real
1197,high,real
1198,hightouch,real
1199,indiafightscorona,real
1200,this,real
1201,researcher,fake
1202,the,real
1203,the,fake
1204,coronavirus,fake
1205,a,fake
1206,late,real
1207,coronavirusupdate,real
1208,inhale,fake
1209,israel,fake
1210,rt,real
1211,social,fake
1212,our,real
1213,our,real
1214,here,real
1215,there,fake
1216,man,fake
1217,publication,real
1218,not,fake
1219,there,real
1220,do,real
1221,germany,fake
1222,metformin,real
1223,mumbais,fake
1224,as,real
1225,we,real
1226,devbhatt,real
1227,a,fake
1228,nancy,fake
1229,who,fake
1230,indiantelecommunication,fake
1231,the,real
1232,a,fake
1233,the,fake
1234,important,fake
1235,we,fake
1236,with,real
1237,right,real
1238,california,real
1239,see,fake
1240,update,real
1241,video,fake
1242,13,real
1243,kate,fake
1244,give,real
1245,the,fake
1246,338,real
1247,another,real
1248,85,real
1249,indiafightscorona,real
1250,guntote,fake
1251,serbian,fake
1252,rt,real
1253,confuse,fake
1254,in,real
1255,we,real
1256,now,real
1257,about,real
1258,case,real
1259,for,real
1260,the,real
1261,man,fake
1262,infuse,real
1263,the,real
1264,protect,real
1265,coronavirus,real
1266,cnbc,fake
1267,vicrollison,fake
1268,with,real
1269,the,real
1270,china,fake
1271,567,fake
1272,indiafightscorona,real
1273,321,real
1274,brahmin,fake
1275,indiafightscorona,real
1276,hospital,real
1277,herd,fake
1278,senate,fake
1279,fourteen,real
1280,the,fake
1281,daily,real
1282,bit,real
1283,so,real
1284,russia,fake
1285,indiafightscorona,real
1286,coronavirusupdate,real
1287,indian,fake
1288,dr,fake
1289,yesterday,real
1290,for,real
1291,coronavirusupdates,real
1292,indiafightscorona,real
1293,say,fake
1294,covid,real
1295,nasal,fake
1296,coronavirusupdates,real
1297,the,real
1298,after,fake
1299,a,real
1300,american,fake
1301,coronavirus,fake
1302,testing,real
1303,indian,fake
1304,if,fake
1305,indiafightscorona,real
1306,our,real
1307,a,fake
1308,health,real
1309,eight,real
1310,wevotedtoleave,fake
1311,from,real
1312,20,fake
1313,a,fake
1314,the,real
1315,a,real
1316,amitabh,fake
1317,an,fake
1318,covid,real
1319,be,real
1320,inference,real
1321,indiafightscorona,real
1322,look,real
1323,we,fake
1324,news,fake
1325,indiafightscorona,real
1326,dawood,fake
1327,1651,real
1328,indiafightscorona,real
1329,icymi,real
1330,108,real
1331,trump,fake
1332,covid19,fake
1333,coronavirus,real
1334,demi,fake
1335,civil,fake
1336, ,real
1337,as,real
1338,the,fake
1339,561,real
1340,as,real
1341,collect,real
1342,papua,fake
1343,the,real
1344,india,fake
1345,rt,real
1346,angela,real
1347,some,real
1348,local,fake
1349,bjp,fake
1350,a,fake
1351,news,fake
1352,covid19,real
1353,a,fake
1354,our,real
1355,prescription,fake
1356,in,fake
1357,coronavirusupdates,real
1358,raffi,real
1359,another,real
1360,a,fake
1361,new,real
1362,a,fake
1363,yes,fake
1364,416,real
1365,gates,fake
1366,the,fake
1367,alanlcit,real
1368,we,real
1369,if,fake
1370,death,real
1371,if,real
1372,do,fake
1373,the,fake
1374,leader,real
1375,late,real
1376,a,fake
1377,same,fake
1378,this,fake
1379,alert,fake
1380,bharat,fake
1381,coronavirusupdates,real
1382,mexiwi,real
1383,news,fake
1384,as,fake
1385,news,fake
1386,canadian,fake
1387,set,real
1388,mayor,real
1389,new,real
1390,another,fake
1391,3,real
1392,for,real
1393,president,fake
1394,pakistani,fake
1395,say,fake
1396,canadas,fake
1397,there,real
1398,as,real
1399,this,real
1400,however,real
1401,news,fake
1402,the,real
1403,doctor,fake
1404,dr,real
1405,video,fake
1406,xanderarmstrong,fake
1407,only,fake
1408,press,fake
1409,paraguays,fake
1410,angry,fake
1411,cole,real
1412,coronaviru,real
1413,peterwa97559477,real
1414,rightwe,fake
1415,there,fake
1416,the,real
1417,if,fake
1418,covid19,fake
1419,rtpcr,real
1420,this,real
1421,in,real
1422,matt,real
1423,goi,real
1424,our,real
1425,runny,fake
1426,our,real
1427,we,real
1428,cut,fake
1429,breathe,fake
1430,rt,real
1431,drink,fake
1432,covid19,real
1433,skin,fake
1434,reporter,fake
1435,moderna,real
1436,photo,fake
1437,rt,real
1438,why,fake
1439,govt,fake
1440,india,fake
1441,hillary,fake
1442,a,fake
1443,what,fake
1444,coronavirusupdates,real
1445,the,real
1446,our,real
1447,we,real
1448,I,fake
1449,we,real
1450,covid,fake
1451,since,real
1452,indiafightscorona,real
1453,a,fake
1454,in,fake
1455,many,real
1456,if,real
1457,it,real
1458,update,real
1459,daily,real
1460,sadly,real
1461,we,real
1462,sao,fake
1463,wetherspoon,real
1464,indiafightscorona,real
1465,ted,fake
1466,rt,real
1467,progressive,fake
1468,rt,real
1469,490,real
1470,our,real
1471,tmccormick,real
1472,local,fake
1473,the,fake
1474, ,real
1475,mouthwash,fake
1476,rt,real
1477,coronavirus,real
1478,the,fake
1479,take,real
1480,multisystem,real
1481,barack,fake
1482,our,real
1483,please,real
1484,indiafightscorona,real
1485,indiafightscorona,real
1486,indiafightscorona,real
1487,as,real
1488,people,fake
1489,as,real
1490,we,real
1491,as,fake
1492,note,real
1493,coronavirus,fake
1494,only,fake
1495,rt,real
1496,indiafightscorona,real
1497,infected1,real
1498,a,real
1499,more,real
1500,rt,real
1501,as,real
1502,bill,fake
1503,just,real
1504,preexist,real
1505,critical,real
1506,indiafightscorona,real
1507,our,real
1508,9,fake
1509,pawan90311,real
1510,pence,fake
1511,scientist,fake
1512,rt,real
1513,our,real
1514,update,real
1515,the,real
1516,226,real
1517,the,fake
1518,the,fake
1519,a,fake
1520,late,real
1521,at,fake
1522,new,fake
1523,indiafightscorona,real
1524,a,fake
1525,you,real
1526,there,real
1527,people,real
1528,a,fake
1529,a,fake
1530,the,fake
1531, ,real
1532,uk,real
1533,our,real
1534,but,real
1535,today,real
1536,coronavirusupdates,real
1537,all,real
1538,a,real
1539,today,real
1540,we,real
1541,coronavirus,fake
1542,when,real
1543,rt,real
1544,4523i5,real
1545,our,real
1546,sadly,real
1547,the,fake
1548,yesterday,real
1549,a,fake
1550,rt,real
1551,almost,real
1552,first,fake
1553,netflix,fake
1554,17,real
1555,country,fake
1556,in,fake
1557,a,real
1558,airline,fake
1559,death,real
1560,canada,fake
1561,coronavirus,real
1562,as,real
1563,indian,fake
1564,video,fake
1565,multiple,fake
1566,indiafightscorona,real
1567,justintrudeau,fake
1568,that,real
1569,queen,fake
1570,us,fake
1571,amtrehan,fake
1572,to,real
1573,1000,real
1574,qanon,fake
1575,our,real
1576,man,fake
1577,germany,fake
1578,143,real
1579,we,real
1580,trump,fake
1581,a,real
1582,last,real
1583,the,real
1584,a,real
1585,a,fake
1586,guatemalan,fake
1587,indiafightscorona,real
1588,our,real
1589,by,fake
1590,trump,fake
1591,australian,fake
1592,risk,real
1593,rt,real
1594,democrats,fake
1595,I,fake
1596,rt,real
1597,there,real
1598,the,fake
1599,rt,real
1600,the,fake
1601,news,fake
1602,news,fake
1603,24,real
1604,we,real
1605,jeanine,fake
1606,ratan,fake
1607,a,fake
1608,do,fake
1609,coronavirus,fake
1610,together,real
1611,as,real
1612,indiafightscorona,real
1613,18,fake
1614,long,real
1615,we,real
1616,to,real
1617,on,real
1618,work,real
1619,er,real
1620,this,fake
1621,a,fake
1622,we,real
1623,us,fake
1624,the,real
1625,drink,fake
1626,as,real
1627,a,fake
1628,accord,fake
1629,chinese,fake
1630,an,fake
1631,news,fake
1632,its,real
1633,the,fake
1634,president,fake
1635,indiafightscorona,real
1636,cdcs,real
1637,tabligi,fake
1638,no,fake
1639,we,real
1640,a,fake
1641,nigeria,real
1642,this,fake
1643,if,real
1644,a,real
1645,vila,fake
1646,guess,fake
1647,bruno,fake
1648,while,real
1649,update,real
1650,faucian,fake
1651,clearly,fake
1652,as,real
1653,there,real
1654,mum,fake
1655,indiafightscorona,real
1656,social,fake
1657,research,fake
1658,govt,fake
1659,who,fake
1660,coronavirusupdates,real
1661,34,real
1662,take,real
1663,if,real
1664,say,fake
1665,675,real
1666,person,fake
1667,a,fake
1668,expert,fake
1669,renowned,fake
1670,a,fake
1671,infection,real
1672,almost,real
1673,under,fake
1674,the,real
1675,new,fake
1676,covid19,real
1677,factchecke,fake
1678,the,real
1679,snikwah37,real
1680,brazilian,fake
1681,dr,fake
1682,rt,real
1683,trump,fake
1684,of,real
1685,saleyhaahsan,real
1686,clinician,real
1687,we,real
1688,a,real
1689,coronavirus,real
1690,the,fake
1691,453,real
1692,a,real
1693,its,real
1694,rt,real
1695,claim,fake
1696,release,fake
1697,take,real
1698,covid19surge,real
1699,state,real
1700,news,fake
1701,our,real
1702,rt,real
1703,acc,real
1704,organize,fake
1705,brasilian,fake
1706,over,real
1707,on,real
1708,create,real
1709,currently,real
1710,death,fake
1711,13,real
1712,a,fake
1713,doctor,fake
1714,this,real
1715,do,fake
1716,arizona,real
1717,death,real
1718,viral,fake
1719,confirm,fake
1720,complete,real
1721,pension,fake
1722,the,fake
1723,this,real
1724,five,real
1725,break,fake
1726,take,real
1727,pak,fake
1728,burger,fake
1729,quotes,fake
1730,coronavirus,real
1731,I,fake
1732,claim,fake
1733,people,fake
1734,the,fake
1735,us,fake
1736,307,real
1737,rt,fake
1738,photo,fake
1739,if,real
1740,so,fake
1741,confirm,fake
1742,school,real
1743,garlic,fake
1744,8th,fake
1745,president,fake
1746,a,fake
